category,subcategory,note,amount,income_expense,currency,year,month,day,grouped_mode
Food,Rajgira ladu,Unknown,20.0,Expense,INR,2018,8,24,Cash
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,8,24,Cash
Festivals,Navratri,Ganpati+ navratri vargani,1000.0,Expense,INR,2018,8,24,Cash
Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR,2018,8,23,Credit Card
Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR,2018,8,23,Credit Card
Food,Lunch,Catering Service,60.0,Expense,INR,2018,8,23,Saving Bank account 1
Food,Milk,Half lit  milk,37.0,Expense,INR,2018,8,22,Cash
Food,Tea,cutting chai,12.0,Expense,INR,2018,8,21,Cash
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,8,21,Cash
Food,curd,Dahi 2 packets,20.0,Expense,INR,2018,8,17,Saving Bank account 1
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,8,17,Cash
Dividend earned on Shares,Unknown,Pidilite Stocks,22.0,Income,INR,2018,8,17,Saving Bank account 1
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR,2018,8,16,Credit Card
Food,Sweets,Warna Srikhand half kg,290.0,Expense,INR,2018,8,15,Cash
Food,flour mill,M D sure 4kg atta,216.0,Expense,INR,2018,8,15,Cash
Dividend earned on Shares,Unknown,ITC Stocks,124.0,Income,INR,2018,8,14,Saving Bank account 1
Family,Pocket money,Unknown,30.0,Expense,INR,2018,8,14,Cash
Food,snacks,Dahi,32.0,Expense,INR,2018,8,14,Cash
Household,Kirana,Toothpaste Patanjali,160.0,Expense,INR,2018,8,14,Cash
Apparel,Laundry,8 clothes ironing,56.0,Expense,INR,2018,8,14,Cash
Food,Ice cream,Vanila family pack,115.0,Expense,INR,2018,8,14,Cash
Household,Appliances,5 litres can Distilled water,100.0,Expense,INR,2018,8,13,Cash
Household,home decor,Brass Puja plate and diva,220.0,Expense,INR,2018,8,13,Cash
Food,Grocery,Half kg Lahsoon,45.0,Expense,INR,2018,8,13,Cash
Household,Kirana,Supermart,594.0,Expense,INR,2018,8,13,Cash
Food,Ice cream,Vanila cup,10.0,Expense,INR,2018,8,13,Cash
Food,Ice cream,chocobar,20.0,Expense,INR,2018,8,13,Cash
Apparel,Laundry,13 clothes ironing,91.0,Expense,INR,2018,7,31,Cash
Money transfer,Home,Unknown,30000.0,Expense,INR,2018,7,31,Saving Bank account 1
maid,Unknown,July salary,2000.0,Expense,INR,2018,7,31,Cash
Food,chocolate,10 melody,10.0,Expense,INR,2018,7,31,Cash
Salary,Unknown,From workplace ,70255.0,Income,INR,2018,7,31,Saving Bank account 1
Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Expense,INR,2018,7,30,Cash
Health,Medicine,Unknown,132.0,Expense,INR,2018,7,30,Cash
Food,Lunch,Catering Service,212.0,Expense,INR,2018,7,30,Saving Bank account 1
Food,breakfast,1 plates poha,25.0,Expense,INR,2018,7,30,Cash
Food,Eating out,Paneer pizza,260.0,Expense,INR,2018,7,29,Saving Bank account 1
Transportation,auto,Decathlon Place A to Place A station,50.0,Expense,INR,2018,7,29,Cash
Transportation,auto,Current Residence to Place 0,15.0,Expense,INR,2018,7,29,Cash
Transportation,Train,2 Place 0 to Place A returns,40.0,Expense,INR,2018,7,29,Saving Bank account 1
Food,breakfast,Medu vada 3 plate,105.0,Expense,INR,2018,7,29,Cash
Family,Pocket money,Unknown,200.0,Expense,INR,2018,7,28,Cash
Culture,Movie,2 INOX ,481.36,Expense,INR,2018,7,28,Debit Card
Food,vegetables,Unknown,195.0,Expense,INR,2018,7,28,Cash
Household,Kirana,Supermart,3750.0,Expense,INR,2018,7,28,Credit Card
Other,Unknown,Demat account charges,826.0,Expense,INR,2018,7,27,Saving Bank account 1
Food,Biscuits,Toast packet,40.0,Expense,INR,2018,7,26,Cash
Tax refund,Unknown,Unknown,6780.0,Income,INR,2018,7,26,Saving Bank account 1
subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR,2018,7,23,Credit Card
Food,breakfast,4 plates poha,100.0,Expense,INR,2018,7,23,Cash
Household,Kirana,Supermart,368.0,Expense,INR,2018,7,21,Cash
Food,fruits,Khajur pav kg,30.0,Expense,INR,2018,7,21,Cash
Food,snacks,2 Bhajipav + 2 vadapav,60.0,Expense,INR,2018,7,21,Saving Bank account 1
Food,Biscuits,Toast packet,45.0,Expense,INR,2018,7,21,Cash
Food,Ice cream,chocobar,20.0,Expense,INR,2018,7,20,Cash
Food,Potato,potato 1kg,25.0,Expense,INR,2018,7,20,Cash
Food,Onions,onion 1 kg,25.0,Expense,INR,2018,7,20,Cash
Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155.0,Expense,INR,2018,7,20,Saving Bank account 1
Health,Medicine,Cataract Medicine,87.0,Expense,INR,2018,7,20,Cash
Health,Medicine,Cataract Medicine,1048.0,Expense,INR,2018,7,20,Credit Card
Food,curd,Dahi 4 packets,40.0,Expense,INR,2018,7,19,Cash
Food,flour mill,M D sure 4kg atta,216.0,Expense,INR,2018,7,18,Cash
Apparel,Laundry,12 clothes ironing,84.0,Expense,INR,2018,7,16,Cash
Household,Hardware,Sony WI-C100 earphones wireless,1190.0,Expense,INR,2018,7,16,Credit Card
Food,snacks,7 kachori,84.0,Expense,INR,2018,7,16,Cash
Food,fruits,Unknown,30.0,Expense,INR,2018,7,15,Cash
Food,vegetables,Unknown,500.0,Expense,INR,2018,7,15,Cash
Food,snacks,4 kachori,48.0,Expense,INR,2018,7,15,Cash
Other,Unknown,CA  - income tax filing,2000.0,Expense,INR,2018,7,14,Saving Bank account 1
Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188.0,Expense,INR,2018,7,13,Saving Bank account 1
Health,Medicine,Cataract Medicine,1358.0,Expense,INR,2018,7,13,Credit Card
Household,Appliances,Aqugurad PRV,1200.0,Expense,INR,2018,6,30,Saving Bank account 1
Dividend earned on Shares,Unknown,Asian paints Stocks,43.0,Income,INR,2018,6,30,Saving Bank account 1
Interest,Unknown,interest paid,342.0,Income,INR,2018,6,30,Saving Bank account 1
Salary,Unknown,From workplace ,65122.0,Income,INR,2018,6,30,Saving Bank account 1
Dividend earned on Shares,Unknown,HUL Stocks,44.0,Income,INR,2018,6,29,Saving Bank account 1
Household,Hardware,Tulsi plant+ pot,70.0,Expense,INR,2018,6,29,Cash
Household,Kitchen,Math tap repair,50.0,Expense,INR,2018,6,29,Cash
Household,Appliances,3 bulbs 3 pencil cells,270.0,Expense,INR,2018,6,29,Cash
Food,Dinner,Home Food Delivery,455.0,Expense,INR,2018,6,28,Credit Card
Food,snacks,Bhaji + vadapav + kachori+ tea,70.0,Expense,INR,2018,6,28,Cash
Transportation,Taxi,Vadala road to Nehru Planetarium,228.0,Expense,INR,2018,6,28,Cash
Apparel,Footwear,Mast & Harbour Slides,64.82,Expense,INR,2018,6,28,Credit Card
Tourism,Entry Fees,Planetarium,308.85,Expense,INR,2018,6,27,Credit Card
Other,Unknown,From Family,3000.0,Income,INR,2018,6,27,Saving Bank account 1
Food,Tea,2 cups,14.0,Expense,INR,2018,6,27,Cash
Household,gadgets,Mobile cover real mi note pro,100.0,Expense,INR,2018,6,27,Cash
Other,Unknown,Shopping at Alfa,4720.0,Expense,INR,2018,6,27,Credit Card
Household,gadgets,Mouse pad,100.0,Expense,INR,2018,6,27,Cash
Apparel,Accessories,Purse,450.0,Expense,INR,2018,6,27,Credit Card
Apparel,Footwear,Rainy season chappal,550.0,Expense,INR,2018,6,27,Credit Card
Transportation,auto,Place P station to Alfa market,25.0,Expense,INR,2018,6,27,Cash
Transportation,Train,2 Place 0 to Place P return,80.0,Expense,INR,2018,6,27,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR,2018,6,27,Cash
Saving Bank account 1,Unknown,Refund,2549.59,Transfer-Out,INR,2018,6,27,Share Market Trading
Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR,2018,6,26,Cash
Household,Kirana,Supermart,1990.0,Expense,INR,2018,6,26,Credit Card
Household,Appliances,Aqugurad water purifier,13050.0,Expense,INR,2018,6,26,Saving Bank account 1
Household,Hardware,Umbrella handle repair,70.0,Expense,INR,2018,6,26,Saving Bank account 1
Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR,2018,6,26,Cash
Food,Tea,2 cutting chai,20.0,Expense,INR,2018,6,26,Cash
Food,snacks,Bhaji + vadapav,30.0,Expense,INR,2018,6,26,Cash
Food,Lunch,Home Food Delivery,320.0,Expense,INR,2018,6,25,Saving Bank account 1
Household,Kirana,Smart point,2074.0,Expense,INR,2018,6,25,Credit Card
Transportation,auto,2 Place 0 to Current Residence,40.0,Expense,INR,2018,6,24,Cash
Food,breakfast,Bread,18.0,Expense,INR,2018,6,24,Saving Bank account 1
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,6,24,Saving Bank account 1
Health,Health,Suppliemnts,211.75,Expense,INR,2018,6,24,Credit Card
Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR,2018,6,24,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR,2018,6,24,Credit Card
Food,snacks,2 Vadapav 2 samosa pav,60.0,Expense,INR,2018,6,24,Cash
subscription,Mobile Service Provider,Annual recharge,2545.0,Expense,INR,2018,6,23,Credit Card
Transportation,auto,Unknown,30.0,Expense,INR,2018,6,23,Cash
subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR,2018,6,22,Saving Bank account 1
Family,Pocket money,Unknown,2000.0,Expense,INR,2018,6,19,Saving Bank account 1
subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR,2018,6,19,Saving Bank account 1
subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR,2018,6,18,Saving Bank account 1
Share Market,Unknown,Unknown,8500.0,Transfer-Out,INR,2018,6,16,Saving Bank account 1
subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR,2018,6,15,Saving Bank account 1
Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,Expense,INR,2018,6,15,Saving Bank account 1
Salary,Unknown,From workplace ,65134.0,Income,INR,2018,5,31,Saving Bank account 1
Dividend earned on Shares,Unknown,HDFC Stocks,88.0,Income,INR,2018,5,30,Saving Bank account 1
subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR,2018,5,28,Credit Card
Beauty,grooming,hair cut,100.0,Expense,INR,2018,5,28,Cash
Interest,Unknown,interest paid,28.0,Income,INR,2018,5,27,Saving Bank account 2
Household,Kirana,Soap + dahya pav kg,75.0,Expense,INR,2018,5,27,Cash
Transportation,auto,Permanent Residence to Motor Driving school,50.0,Expense,INR,2018,5,26,Cash
subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR,2018,5,24,Saving Bank account 1
subscription,Tata Sky,Permanent Residence - Tata Play recharge,166.0,Expense,INR,2018,5,23,Credit Card
Health,Health,2 All out refill,154.0,Expense,INR,2018,5,22,Cash
Family,Pocket money,Unknown,140.0,Expense,INR,2018,5,21,Cash
Family,misc,"Soap, shampoo, razor",122.0,Expense,INR,2018,5,20,Saving Bank account 1
Household,Kitchen,flour mill,25.0,Expense,INR,2018,5,19,Cash
subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR,2018,5,19,Saving Bank account 1
subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR,2018,5,18,Saving Bank account 1
Food,Ice cream,Cookies & cream family pack,135.0,Expense,INR,2018,5,15,Saving Bank account 1
Transportation,auto,within city,30.0,Expense,INR,2018,5,15,Cash
Household,Appliances,LG Washing Machine,21500.0,Expense,INR,2018,5,15,Saving Bank account 1
Transportation,auto,Permanent Residence to GH road,50.0,Expense,INR,2018,5,15,Cash
Amazon pay cashback,Unknown,Unknown,21.0,Income,INR,2018,5,14,Saving Bank account 1
subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR,2018,5,14,Saving Bank account 1
Other,Unknown,Digilock room charges,40.0,Expense,INR,2018,5,14,Cash
Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR,2018,5,14,Cash
Food,snacks,Potato chips,15.0,Expense,INR,2018,5,14,Cash
Food,fruits,2 dozens mango + 1kg litchi,1250.0,Expense,INR,2018,5,14,Saving Bank account 1
Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR,2018,5,14,Cash
Transportation,auto,2 Current Residence to Place 0,40.0,Expense,INR,2018,5,14,Cash
Apparel,Laundry,clothes ironing,77.0,Expense,INR,2018,5,13,Cash
Education,Stationary,Gel pen Refills,12.0,Expense,INR,2018,5,13,Cash
scrap,Unknown,Unknown,20.0,Income,INR,2018,5,13,Cash
Food,snacks,6 kachori,72.0,Expense,INR,2018,4,30,Cash
Household,Kirana,Supermart,165.0,Expense,INR,2018,4,30,Cash
subscription,Tata Sky,Current Residence - Tata Play recharge,176.0,Expense,INR,2018,4,30,Credit Card
Food,Biscuits,Toast packet,45.0,Expense,INR,2018,4,30,Cash
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,4,30,Cash
Gift,Unknown,To Family,500.0,Expense,INR,2018,4,30,Cash
Food,beverage,2 sugarcane juice,40.0,Expense,INR,2018,4,29,Saving Bank account 1
Salary,Unknown,From workplace ,65134.0,Income,INR,2018,4,29,Saving Bank account 1
Food,Dinner,Home Food Delivery,413.0,Expense,INR,2018,4,28,Credit Card
Family,Pocket money,Unknown,500.0,Expense,INR,2018,4,28,Cash
Household,Kirana,Supermart,295.0,Expense,INR,2018,4,27,Cash
Food,snacks,Noodles packet,30.0,Expense,INR,2018,4,26,Cash
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,4,26,Saving Bank account 1
Family,Pocket money,Unknown,1000.0,Expense,INR,2018,4,26,Cash
Food,Lunch,Catering Service,70.0,Expense,INR,2018,4,25,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR,2018,4,24,Credit Card
Household,Kirana,Idli pith 1kg,38.0,Expense,INR,2018,4,23,Saving Bank account 1
maid,Unknown,Unknown,500.0,Expense,INR,2018,4,23,Cash
Food,vegetables,Unknown,10.0,Expense,INR,2018,4,22,Cash
Household,Kirana,Supermart,190.0,Expense,INR,2018,4,22,Cash
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,4,22,Saving Bank account 1
Food,Ice cream,Naturals,160.0,Expense,INR,2018,4,21,Cash
Food,curd,Dahi 2 packets,20.0,Expense,INR,2018,4,21,Cash
Food,Dinner,Sugaran Kitchen,70.0,Expense,INR,2018,4,20,Saving Bank account 1
Household,Kitchen,flour mill,14.0,Expense,INR,2018,4,19,Cash
Food,Eggs,6 eggs,36.0,Expense,INR,2018,4,19,Saving Bank account 1
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,4,19,Saving Bank account 1
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,4,17,Cash
Education,Stationary,3 Pens,21.0,Expense,INR,2018,4,16,Saving Bank account 1
Apparel,Laundry,clothes ironing,63.0,Expense,INR,2018,4,16,Saving Bank account 1
Household,Kirana,Cockroach injection,270.0,Expense,INR,2018,4,16,Saving Bank account 1
Household,Kirana,Supermart,265.0,Expense,INR,2018,4,16,Saving Bank account 1
Household,Kirana,Smart point,450.0,Expense,INR,2018,4,16,Credit Card
Food,snacks,pav Bhaji,70.0,Expense,INR,2018,4,15,Cash
Food,Tea,2 cutting chai,20.0,Expense,INR,2018,4,15,Cash
Household,Kitchen,"Vessels for sugar, coffee and tea",799.0,Expense,INR,2018,4,15,Credit Card
Family,makeup,Body mist,525.0,Expense,INR,2018,4,15,Credit Card
Transportation,Bike,Station Parking,10.0,Expense,INR,2018,4,15,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR,2018,4,15,Cash
Food,Lunch,Catering Service,70.0,Expense,INR,2018,4,15,Cash
Household,Kirana,Supermart,107.0,Expense,INR,2018,4,14,Saving Bank account 1
Food,Grocery,Pizza base packet 2,40.0,Expense,INR,2018,4,14,Saving Bank account 1
Food,Biscuits,Khari packet,45.0,Expense,INR,2018,4,14,Saving Bank account 1
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,4,14,Saving Bank account 1
Health,Lab Tests,Family Thyroid Test + CBC,700.0,Expense,INR,2018,4,13,Cash
Food,Ice cream,2 chocobar,45.0,Expense,INR,2018,3,31,Saving Bank account 1
Food,Dinner,Home Food Delivery,244.0,Expense,INR,2018,3,31,Credit Card
Salary,Unknown,From workplace ,64636.0,Income,INR,2018,3,31,Saving Bank account 1
Food,Lunch,Domino's Pizza,419.0,Expense,INR,2018,3,31,Credit Card
Transportation,Bike,Station Parking,10.0,Expense,INR,2018,3,31,Saving Bank account 1
Interest,Unknown,interest paid,589.0,Income,INR,2018,3,31,Saving Bank account 1
Transportation,Train,Place 0 to Sion returns,30.0,Expense,INR,2018,3,31,Cash
Food,snacks,1 Panipuri,25.0,Expense,INR,2018,3,30,Cash
Food,vegetables,Ginger + green chilli,20.0,Expense,INR,2018,3,30,Cash
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,3,30,Cash
Food,Dinner,At restaurant,1234.0,Expense,INR,2018,3,29,Credit Card
Food,breakfast,Bread,35.0,Expense,INR,2018,3,27,Cash
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,3,26,Saving Bank account 1
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR,2018,3,26,Credit Card
Dividend earned on Shares,Unknown,Marico Stocks,40.5,Income,INR,2018,3,25,Saving Bank account 1
Transportation,Bike,Station Parking,10.0,Expense,INR,2018,3,25,Cash
Food,snacks,Popcorn family pack,25.0,Expense,INR,2018,3,25,Cash
Food,Tea,2 tea,20.0,Expense,INR,2018,3,25,Cash
Food,snacks,2 Frankie,160.0,Expense,INR,2018,3,25,Cash
Food,snacks,French crossiant,80.0,Expense,INR,2018,3,25,Credit Card
Food,Tea,IKEA tea 3,240.0,Expense,INR,2018,3,25,Credit Card
Culture,Books,Finding next Job,100.0,Expense,INR,2018,3,23,Cash
Food,flour mill,1 kg Bajari,7.0,Expense,INR,2018,3,22,Saving Bank account 1
Food,vegetables,Half kg tomato,15.0,Expense,INR,2018,3,22,Cash
Household,Kirana,Supermart,153.0,Expense,INR,2018,3,22,Saving Bank account 1
Food,snacks,Pickle,150.0,Expense,INR,2018,3,22,Saving Bank account 1
Food,snacks,Potato chips,150.0,Expense,INR,2018,3,22,Cash
Food,Rajgira ladu,1 packet,20.0,Expense,INR,2018,3,22,Cash
Food,Milk,milk 1lit ,72.0,Expense,INR,2018,3,22,Cash
Food,snacks,2 kachori,24.0,Expense,INR,2018,3,21,Saving Bank account 1
Household,Kirana,Idli pith 1kg,38.0,Expense,INR,2018,3,21,Credit Card
Family,Pocket money,Unknown,50.0,Expense,INR,2018,3,21,Cash
Food,Dinner,2 Fried rice,246.0,Expense,INR,2018,3,20,Credit Card
Other,Unknown,Unknown,17.0,Expense,INR,2018,3,20,Saving Bank account 2
Food,snacks,Chicken lollypop 8 pcs,215.75,Expense,INR,2018,3,20,Credit Card
Food,breakfast,Bread,18.0,Expense,INR,2018,3,20,Cash
Food,Eggs,6 eggs,36.0,Expense,INR,2018,3,20,Cash
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,3,20,Cash
Transportation,Bike,Station Parking,10.0,Expense,INR,2018,3,18,Cash
Food,snacks,Dabeli,15.0,Expense,INR,2018,3,18,Cash
Family,clothes,Trouser,799.0,Expense,INR,2018,3,18,Credit Card
Family,clothes,Belt + bow,498.0,Expense,INR,2018,3,18,Credit Card
Food,snacks,Papad packet,50.0,Expense,INR,2018,3,18,Cash
Food,snacks,1 Panipuri,30.0,Expense,INR,2018,3,18,Cash
Food,Tea,cutting chai,10.0,Expense,INR,2018,3,18,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR,2018,3,18,Cash
Food,Lunch,Catering Service,30.0,Expense,INR,2018,3,17,Cash
Food,Milk,Half lit  milk,37.0,Expense,INR,2018,3,17,Saving Bank account 1
Food,Lunch,Catering Service,60.0,Expense,INR,2018,3,15,Cash
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,3,15,Saving Bank account 1
Household,Kirana,Mayonnaise + cheese cubes,140.0,Expense,INR,2018,3,14,Cash
Food,Onions,onion 2 kg,40.0,Expense,INR,2018,3,14,Cash
Food,Dinner,Domino's Pizza,578.0,Expense,INR,2018,3,14,Credit Card
Saving Bank account 1,Unknown,Unused funds,42.88,Transfer-Out,INR,2018,3,14,Share Market Trading
Family,Pocket money,Unknown,480.0,Expense,INR,2018,3,13,Cash
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,3,13,Saving Bank account 1
Food,Biscuits,Khari packet,45.0,Expense,INR,2018,2,28,Saving Bank account 1
Food,Milk,Half lit Varna milk,36.0,Expense,INR,2018,2,28,Saving Bank account 1
Food,Onions,onion 1 kg,30.0,Expense,INR,2018,2,28,Credit Card
Food,Potato,potato 1kg,18.0,Expense,INR,2018,2,28,Credit Card
Salary,Unknown,From workplace ,64556.0,Income,INR,2018,2,28,Saving Bank account 1
Household,Kirana,Idli pith 1kg,38.0,Expense,INR,2018,2,27,Credit Card
Food,Lunch,5 chapati,30.0,Expense,INR,2018,2,27,Cash
Food,Milk,1 lit ,73.0,Expense,INR,2018,2,26,Saving Bank account 1
Household,Toiletries,Mirror repair,140.0,Expense,INR,2018,2,26,Saving Bank account 1
Transportation,Bike,First servicing,443.0,Expense,INR,2018,2,26,Credit Card
Food,beverage,chaas,17.0,Expense,INR,2018,2,26,Saving Bank account 1
Food,Bread,Flatbread 12 pcs,40.0,Expense,INR,2018,2,24,Saving Bank account 1
Health,Medicine,Refresh Tears Drop,128.0,Expense,INR,2018,2,23,Cash
Food,Rajgira ladu,1 packet,20.0,Expense,INR,2018,2,23,Saving Bank account 1
Food,Milk,1 lit ,72.0,Expense,INR,2018,2,23,Saving Bank account 1
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR,2018,2,22,Saving Bank account 1
Food,beverage,Limca,20.0,Expense,INR,2018,2,22,Saving Bank account 1
Food,Onions,onion 1 kg,20.0,Expense,INR,2018,2,22,Saving Bank account 1
Food,Lunch,Catering Service,192.0,Expense,INR,2018,2,22,Saving Bank account 1
Household,Appliances,Kitchen fan + installation+ repair,2600.0,Expense,INR,2018,2,20,Saving Bank account 1
Petty cash,Unknown,From Family,170.0,Income,INR,2018,2,19,Saving Bank account 1
Beauty,grooming,hair cut+shaving,170.0,Expense,INR,2018,2,19,Saving Bank account 1
Food,Milk,1 lit ,72.0,Expense,INR,2018,2,19,Saving Bank account 1
Food,snacks,2 kachori,24.0,Expense,INR,2018,2,19,Saving Bank account 1
Food,Dinner,BBQ,1783.0,Expense,INR,2018,2,17,Credit Card
Family,clothes,Unknown,3598.0,Expense,INR,2018,2,17,Credit Card
Transportation,Bike,Mall parking,20.0,Expense,INR,2018,2,17,Cash
Food,Lunch,5 chapati,30.0,Expense,INR,2018,2,17,Cash
Food,snacks,banana chips,45.0,Expense,INR,2018,2,16,Saving Bank account 1
Food,Biscuits,Khari packet,45.0,Expense,INR,2018,2,16,Saving Bank account 1
Food,Milk,1 lit ,72.0,Expense,INR,2018,2,16,Saving Bank account 1
Food,Ice cream,chocobar,35.0,Expense,INR,2018,2,15,Saving Bank account 1
Food,Grocery,Half kg tomato + methi 1 judi,30.0,Expense,INR,2018,2,15,Saving Bank account 1
Household,Kirana,Supermart,117.0,Expense,INR,2018,2,15,Credit Card
Food,snacks,1 chicken shawarma,60.0,Expense,INR,2018,2,14,Saving Bank account 1
Food,Potato,potato 1kg,25.0,Expense,INR,2018,2,13,Credit Card
Food,Bread,Bread,35.0,Expense,INR,2018,2,13,Saving Bank account 1
Food,Grocery,Amul cheese,72.0,Expense,INR,2018,2,13,Saving Bank account 1
Food,Milk,1 lit ,72.0,Expense,INR,2018,2,13,Saving Bank account 1
Food,Dinner,At restaurant,320.0,Expense,INR,2018,1,31,Cash
Transportation,Bike,Parking sticker,50.0,Expense,INR,2018,1,31,Saving Bank account 1
Salary,Unknown,From workplace ,64636.0,Income,INR,2018,1,31,Saving Bank account 1
Food,Milk,1 lit ,69.0,Expense,INR,2018,1,31,Saving Bank account 1
Household,Kitchen,Matchbox packet 10pcs,10.0,Expense,INR,2018,1,30,Saving Bank account 1
Food,Grocery,Dahi 2 packets,20.0,Expense,INR,2018,1,30,Saving Bank account 1
Share Market,Unknown,Unknown,10000.0,Transfer-Out,INR,2018,1,30,Saving Bank account 1
Family,Pocket money,Unknown,100.0,Expense,INR,2018,1,30,Cash
Food,Biscuits,Khari packet,45.0,Expense,INR,2018,1,29,Saving Bank account 1
Food,Eggs,6 eggs,42.0,Expense,INR,2018,1,29,Saving Bank account 1
Food,Milk,1 lit ,69.0,Expense,INR,2018,1,29,Saving Bank account 1
Food,snacks,2 kachori,24.0,Expense,INR,2018,1,28,Saving Bank account 1
Household,Kirana,Smart point,976.9,Expense,INR,2018,1,28,Credit Card
Household,Kirana,Supermart,764.0,Expense,INR,2018,1,28,Credit Card
Transportation,Bike,Two Wheeler Bikedelux third installment,43000.0,Expense,INR,2018,1,27,Saving Bank account 1
